id	x	y	inslope	inaccel	expression	outslope	outaccel
1	1	0	0	0	constant()		
1	766	-0	0	0	constant()	0	0
1	1162	1	0	0	constant()	0	0
1	1169	-0	0	0	constant()	0	0
1	1367	1	0	0	constant()	0	0
1	1373	-0	0	0	constant()	0	0
1	1561	1	0	0	constant()	0	0
1	1568	-0	0	0	constant()	0	0
1	1757	1	0	0	constant()	0	0
1	1766	-0	0	0	constant()	0	0
1	1951	1	0	0	constant()	0	0
1	1960	0	0	0	constant()	0	0
1	2146	1	0	0	constant()	0	0
1	2153	0	0	0	constant()	0	0
1	2338	1	0	0	constant()	0	0
1	2343	0	0	0	constant()	0	0
1	2338	1	0	0	constant()	0	0
1	2343	0	0	0	constant()	0	0
1	2534	1	0	0	constant()	0	0
1	2539	0	0	0	constant()	0	0
1	2730	1	0	0	constant()	0	0
1	2735	0	0	0	constant()	0	0
1	2926	1	0	0	constant()	0	0
1	2931	0	0	0	constant()	0	0
1	3122	1	0	0	constant()	0	0
1	3127	0	0	0	constant()	0	0
1	3318	1	0	0	constant()	0	0
1	3323	0	0	0	constant()	0	0
1	3349	0	0	0	constant()	0	0
1	14187	0	0	0	constant()		
2	1	0	0	0	constant()	0	0
2	1215	1	0	0	constant()	0	0
2	1223	0	0	0	constant()	0	0
2	1314	1	0	0	constant()	0	0
2	1322	-0	0	0	constant()	0	0
2	1409	1	0	0	constant()	0	0
2	1417	0	0	0	constant()	0	0
2	1511	1	0	0	constant()	0	0
2	1517	0	0	0	constant()	0	0
2	1611	1	0	0	constant()	0	0
2	1621	0	0	0	constant()	0	0
2	1708	1	0	0	constant()	0	0
2	1720	0	0	0	constant()	0	0
2	13855	0	0	0	constant()	0	0
